날짜,고용형태,값,나이구분
2021,전년도 연간특별급여/12개월 (천원),36.0,50~59세
2021,전년도 연간특별급여 (천원),428.0,50~59세
2022,총근로일수 (일),16.0,50~59세
2022,총근로시간 (시간),106.0,50~59세
2022,소정실근로시간 (시간),103.0,50~59세
2022,초과근로시간 (시간),3.0,50~59세
2022,휴일근로시간 (시간),1.0,50~59세
2022,시간당임금총액 (원),19358.0,50~59세
2022,시간당정액급여 (원),18930.0,50~59세
2022,월임금총액 (천원),1926.0,50~59세
2022,월급여액 (천원),1871.0,50~59세
2022,정액급여 (천원),1814.0,50~59세
2022,초과급여 (천원),57.0,50~59세
2022,전년도 연간특별급여/12개월 (천원),56.0,50~59세
2022,전년도 연간특별급여 (천원),671.0,50~59세
2021,총근로일수 (일),18.0,60세이상
2021,총근로시간 (시간),120.0,60세이상
2021,소정실근로시간 (시간),117.0,60세이상
2021,초과근로시간 (시간),3.0,60세이상
2021,휴일근로시간 (시간),1.0,60세이상
2021,시간당임금총액 (원),15105.0,60세이상
2021,시간당정액급여 (원),14862.0,60세이상
2021,월임금총액 (천원),1659.0,60세이상
2021,월급여액 (천원),1636.0,60세이상
2021,정액급여 (천원),1583.0,60세이상
2021,초과급여 (천원),52.0,60세이상
2021,전년도 연간특별급여/12개월 (천원),23.0,60세이상
2021,전년도 연간특별급여 (천원),281.0,60세이상
2022,총근로일수 (일),17.0,60세이상
2022,총근로시간 (시간),115.0,60세이상
2022,소정실근로시간 (시간),112.0,60세이상
2022,초과근로시간 (시간),3.0,60세이상
2022,휴일근로시간 (시간),1.0,60세이상
2022,시간당임금총액 (원),16575.0,60세이상
2022,시간당정액급여 (원),16316.0,60세이상
2022,월임금총액 (천원),1751.0,60세이상
2022,월급여액 (천원),1727.0,60세이상
2022,정액급여 (천원),1664.0,60세이상
2022,초과급여 (천원),63.0,60세이상
2022,전년도 연간특별급여/12개월 (천원),24.0,60세이상
2022,전년도 연간특별급여 (천원),291.0,60세이상
